比赛ID,联赛名,日期,主队,客队,主队半场,客队半场,主队射门,客队射门,主队射正,客队射正,主队控球率,客队控球率,主队传球成功率,客队传球成功率,主队犯规,客队犯规,主队黄牌,客队黄牌,主队角球,客队角球,主队半场角球,客队半场角球,主队红牌,客队红牌,主队射中门框,客队射中门框
542609,意甲,2021-1-6 10:00:00 PM,拉齐奥,佛罗伦萨,0,0,14,10,6,7,45%,55%,84%,86%,11,11,3,1,2,9,0,0,0,0,0,0
531060,英超,2021-1-3 1:30:00 AM,布莱顿,狼队,0,0,13,11,4,4,54.2%,45.8%,86.4%,83.2%,13,8,0,0,0,0,0,0,0,0,1,0
542599,意甲,2021-1-3 10:00:00 PM,热那亚,拉齐奥,0,0,10,12,3,3,39.2%,60.8%,73.4%,84.7%,11,18,0,0,0,0,0,0,0,0,0,0
531095,英超,2021-1-28 2:00:00 AM,切尔西,狼队,0,0,13,4,5,0,79%,21%,92%,71%,14,7,1,1,12,1,0,0,0,0,0,0
542640,意甲,2021-1-25 1:00:00 AM,拉齐奥,萨索洛,0,0,19,5,6,1,49%,51%,87%,86%,16,15,2,3,9,6,0,0,0,0,0,0
531089,英超,2021-1-16 8:30:00 PM,狼队,西布朗,0,0,23,12,6,5,62%,38%,84%,67%,10,14,2,1,11,0,0,0,0,0,0,0
542629,意甲,2021-1-16 3:45:00 AM,拉齐奥,罗马,0,0,9,9,9,2,39%,61%,82%,85%,12,19,5,4,1,7,0,0,0,0,0,0
531077,英超,2021-1-13 4:15:00 AM,狼队,埃弗顿,0,0,13,5,3,3,53%,47%,91%,88%,6,11,2,2,6,5,0,0,0,0,0,0
542620,意甲,2021-1-10 10:00:00 PM,帕尔马,拉齐奥,0,0,10,21,0,5,48%,52%,83%,85%,11,7,4,1,5,6,0,0,0,0,0,0
